TP Index,TP ID,Frekans,Symbol Rate,Pol,Ham Hex
218,0xff,65535,4800,H,12 c0 24 00 04 2e 9c a6 ff ff ff ff ff ff ff ff
220,0xff,65535,27500,H,6b 6c 24 00 04 2e a4 75 ff ff ff ff ff ff ff ff
222,0xff,65535,30000,H,75 30 a4 00 04 2e a4 d9 ff ff ff ff ff ff ff ff
224,0xff,65535,30000,H,75 30 24 00 04 2e a4 76 ff ff ff ff ff ff ff ff
226,0xff,65535,27500,H,6b 6c 24 00 04 2e 75 96 ff ff ff ff ff ff ff ff
228,0xff,65535,30000,H,75 30 a4 00 04 2e 7a a9 ff ff ff ff ff ff ff ff
230,0xff,65535,27500,H,6b 6c 24 00 04 2e 75 f9 ff ff ff ff ff ff ff ff
232,0xff,65535,30000,H,75 30 24 00 04 2e a3 ad ff ff ff ff ff ff ff ff
234,0xff,65535,25000,H,61 a8 04 00 04 2e 77 8a ff ff ff ff ff ff ff ff
236,0x27,11509,30000,H,75 30 04 00 04 2e 77 89 3f 00 00 27 26 16 2c f5
237,0x28,11916,30000,H,75 30 84 00 04 2e 7b d5 3f 00 00 28 29 68 2e 8c
238,0xff,65535,30000,H,75 30 24 00 04 2e 9c a5 ff ff ff ff ff ff ff ff
240,0xff,65535,30000,H,75 30 a4 00 04 2e a4 11 ff ff ff ff ff ff ff ff
242,0xff,65535,22500,H,57 e4 24 00 04 2e 75 95 ff ff ff ff ff ff ff ff
244,0xff,65535,30000,H,75 30 24 00 04 2e 7d 01 ff ff ff ff ff ff ff ff
246,0x2e,12729,30000,H,75 30 a4 00 00 2a 00 09 3f 00 00 2e 29 68 31 b9
247,0xff,65535,27500,H,6b 6c a4 00 04 2e 7b 71 ff ff ff ff ff ff ff ff
249,0x30,11096,6400,H,19 00 a4 00 04 2e a0 29 3f 00 00 30 26 16 2b 58
250,0xff,65535,30000,H,75 30 04 00 04 2e 79 7d ff ff ff ff ff ff ff ff
252,0x32,12446,3700,H,0e 74 84 00 00 b1 00 b0 3f 00 00 32 29 68 30 9e
253,0xff,65535,2400,H,09 60 a4 00 00 00 00 00 ff ff ff ff ff ff ff ff
255,0x34,11001,2960,H,0b 90 84 00 ff ff 00 01 3f 00 00 34 26 16 2a f9
256,0xff,65535,3200,H,0c 80 84 00 20 00 10 00 ff ff ff ff ff ff ff ff
258,0xff,65535,4444,H,11 5c 24 00 ff ff 00 01 ff ff ff ff ff ff ff ff
260,0x37,11472,2400,H,09 60 84 00 00 b1 00 b0 3f 00 00 37 26 16 2c d0
261,0xff,65535,23450,H,5b 9a 84 00 00 2a 00 2d ff ff ff ff ff ff ff ff
263,0xff,65535,27500,H,6b 6c 24 00 04 2e a2 e5 ff ff ff ff ff ff ff ff
265,0xff,65535,27500,H,6b 6c 24 00 04 2e a2 1d ff ff ff ff ff ff ff ff
267,0xff,65535,8000,H,1f 40 24 00 04 2e a9 27 ff ff ff ff ff ff ff ff
269,0x3c,12130,30000,H,75 30 a4 00 04 2e 7b 0d 3f 00 00 3c 29 68 2f 62
270,0xff,65535,27500,H,6b 6c 24 00 04 2e 51 a5 ff ff ff ff ff ff ff ff
272,0xff,65535,8800,H,22 60 24 00 00 68 a8 5e ff ff ff ff ff ff ff ff
274,0xb0,11012,27500,H,6b 6c 24 00 00 42 00 08 3f 00 00 b0 26 16 2b 04
275,0xff,65535,30000,H,75 30 04 00 00 42 00 04 ff ff ff ff ff ff ff ff
277,0xff,65535,11400,H,2c 88 24 00 00 2a 76 5f ff ff ff ff ff ff ff ff
279,0xb3,11714,24444,H,5f 7c 04 00 00 2a 77 ed 3f 00 00 b3 29 68 2d c2
280,0xff,65535,6000,H,17 70 24 00 00 2a 00 0e ff ff ff ff ff ff ff ff
282,0xff,65535,15555,H,3c c3 24 00 00 2a c5 a8 ff ff ff ff ff ff ff ff
284,0xff,65535,3600,H,0e 10 24 00 00 2a 15 7c ff ff ff ff ff ff ff ff
